Fecha,Plataforma,Tipo_Contenido,Impresiones,Likes,Comentarios,Seguidores_Ganados,Ventas_Generadas
2022-10-23,Facebook,Reel,33934,2326,29,45,104
2023-12-21,Pinterest,Video,17167,4056,164,259,167
2022-12-04,Instagram,Post,6340,4489,600,7,186
2024-05-28,TikTok,Story,4065,1153,1142,96,13
2024-12-12,Pinterest,Post,43694,7570,904,296,171
2024-03-02,Instagram,Story,21477,1469,506,93,103
2022-08-05,TikTok,Reel,21618,5459,1194,54,116
2024-02-03,Facebook,Post,23141,1528,1017,181,47
2022-07-07,TikTok,Reel,7866,3964,707,38,92
2023-01-15,Pinterest,Video,27136,3792,5,-6,170
2023-05-08,Facebook,Story,16130,7182,745,210,143
2024-11-30,Instagram,Story,20556,5297,1114,84,109
2022-01-15,Facebook,Reel,7882,7919,324,144,162
2022-03-06,Instagram,Video,16649,3006,386,178,52
2023-06-05,Instagram,Post,49139,7760,902,14,161
2023-10-10,TikTok,Post,46541,6067,721,141,2
2024-12-22,TikTok,Story,1492,1432,311,224,67
2023-08-16,TikTok,Reel,7358,2624,1172,266,132
2023-01-27,Pinterest,Reel,2621,3434,395,-2,137
2023-02-23,Pinterest,Post,27660,6268,1197,259,51
2022-10-16,TikTok,Video,45656,1619,994,161,156
2023-01-14,Pinterest,Video,21406,1944,302,126,95
2022-08-19,Facebook,Post,20072,2293,237,155,30
2024-10-14,Facebook,Post,4636,1916,275,142,65
2022-02-10,Pinterest,Reel,17227,78,1088,154,90
2024-11-17,Pinterest,Video,32667,755,681,26,68
2022-05-15,Facebook,Post,45921,1070,710,235,164
2022-07-20,Instagram,Post,15979,2113,238,153,154
2024-02-19,Facebook,Story,31876,1496,849,82,86
2024-07-18,Facebook,Post,5323,7806,495,100,32
2024-11-22,Pinterest,Post,5420,6998,507,124,67
2024-12-07,Facebook,Video,20085,3714,894,21,186
2023-05-18,Pinterest,Reel,38739,7622,596,8,191
2023-02-11,Pinterest,Video,17772,3037,750,252,87
2024-03-15,TikTok,Reel,27119,5805,432,-7,171
2022-04-09,Facebook,Story,10033,3652,701,285,94
2023-11-15,Instagram,Post,40395,5112,650,292,107
2023-12-27,TikTok,Story,4220,3735,736,168,176
2024-08-18,Pinterest,Reel,19767,7294,804,274,52
2023-09-05,Pinterest,Video,16196,6422,368,162,73
2023-10-05,Instagram,Video,30468,7155,206,15,48
2024-10-25,Pinterest,Story,23845,3418,886,16,112
2023-05-18,Facebook,Reel,26193,3631,150,-7,113
2024-02-06,TikTok,Story,19885,2812,840,102,193
2023-02-02,Pinterest,Story,18622,7177,643,62,94
2024-05-20,Pinterest,Post,1864,4087,139,138,190
2024-03-05,Instagram,Story,3208,622,630,81,24
2023-01-28,Facebook,Post,13482,7755,68,62,131
2022-07-26,Pinterest,Post,17808,5752,495,23,178
2024-11-04,Instagram,Video,33419,4138,45,47,138
2024-06-10,Pinterest,Post,25661,664,1031,27,144
2024-05-13,Instagram,Post,35589,4100,917,36,107
2024-01-13,Instagram,Video,14365,375,979,54,193
2023-07-18,Facebook,Story,995,7580,1138,1,197
2024-10-17,Pinterest,Reel,45255,3790,372,111,68
2022-04-06,Facebook,Reel,2648,7068,922,281,83
2023-04-30,Instagram,Reel,33824,408,1032,246,156
2022-08-19,TikTok,Story,13893,3827,248,266,84
2024-01-19,Pinterest,Post,2052,5956,906,99,118
2023-06-25,TikTok,Reel,36353,2421,170,225,71
2024-11-25,Pinterest,Story,33424,1771,1054,35,19
2023-06-09,Facebook,Post,9426,1399,1045,17,26
2023-08-01,Facebook,Video,31351,3746,732,224,7
2023-11-13,Facebook,Reel,24389,3946,1120,0,84
2023-07-11,Facebook,Post,40430,4310,487,89,60
2024-10-09,Facebook,Reel,8555,1646,547,73,155
2023-10-08,TikTok,Reel,5154,1677,935,115,197
2024-03-06,Facebook,Reel,23134,6991,404,210,2
2024-11-17,Instagram,Post,32863,2552,623,-13,196
2022-07-09,Instagram,Story,11968,5322,1174,269,6
2023-09-25,TikTok,Post,33422,3858,883,230,187
2023-09-20,Pinterest,Reel,41218,5296,105,66,3
2024-08-30,Instagram,Post,48591,242,884,183,132
2023-12-11,Pinterest,Video,17880,2724,834,198,138
2023-10-11,TikTok,Story,27370,3895,763,220,124
2022-11-14,Pinterest,Post,37894,2627,167,299,14
2023-11-15,Pinterest,Video,14759,7227,506,237,191
2023-10-26,Pinterest,Story,15373,141,551,88,12
2023-03-18,Pinterest,Video,13516,4284,385,235,117
2023-07-18,TikTok,Story,42637,530,874,261,6
2024-08-09,Instagram,Post,653,6642,909,199,103
2023-11-30,Facebook,Video,8353,5502,1191,62,5
2022-04-23,Pinterest,Reel,12879,2966,1006,86,183
2022-01-02,Instagram,Video,16292,4485,613,48,63
2023-10-04,Instagram,Story,38867,1125,311,76,177
2022-08-08,TikTok,Post,18600,7924,59,191,29
2024-05-04,Instagram,Story,48053,2563,987,265,21
2023-01-20,TikTok,Video,11549,6911,337,216,152
2024-12-12,Pinterest,Video,1286,848,131,-13,155
2023-12-31,Pinterest,Reel,4868,4620,709,273,117
2022-09-04,Facebook,Post,31199,6594,247,168,83
2024-04-15,Facebook,Post,48191,5608,604,60,166
2022-07-22,Facebook,Video,37540,3999,507,87,194
2022-05-03,Instagram,Post,27954,654,608,46,132
2023-02-05,Pinterest,Reel,39262,3029,307,153,192
2024-02-06,TikTok,Story,24100,7190,239,22,142
2022-10-21,Facebook,Post,29738,7115,1066,166,89
2022-10-07,TikTok,Video,25741,4966,143,281,194
2024-06-02,TikTok,Story,20310,6850,199,179,167
2022-07-17,Facebook,Story,20667,647,651,18,120
2024-09-08,Pinterest,Reel,22311,1582,5,199,105
2024-01-22,Facebook,Video,40279,7370,565,286,68
2022-05-24,TikTok,Post,20585,563,1124,-17,94
2023-09-01,Facebook,Video,47354,5672,717,100,76
2022-07-06,TikTok,Story,9761,1927,417,56,170
2023-04-09,TikTok,Video,19233,4022,542,158,0
2023-10-22,Facebook,Post,40279,3893,433,112,149
2024-02-03,Instagram,Post,29579,1749,239,290,61
2024-08-12,Facebook,Reel,34480,1079,353,208,153
2023-02-07,Instagram,Post,14641,4645,400,255,17
2022-05-27,TikTok,Post,9844,5830,420,131,47
2024-05-13,TikTok,Video,39972,766,920,143,136
2023-05-04,Instagram,Video,16396,5287,1079,269,0
2024-07-17,TikTok,Story,24317,5654,85,88,136
2023-07-05,Instagram,Reel,30313,4136,40,105,150
2022-12-04,Instagram,Video,19395,6794,1095,219,106
2024-05-21,TikTok,Post,643,715,645,289,172
2023-10-03,Pinterest,Story,11181,7896,886,125,129
2023-04-18,Instagram,Video,7867,6661,761,231,141
2022-05-31,Facebook,Reel,3728,2258,627,162,37
2022-09-20,Facebook,Reel,5082,6463,472,288,39
2022-05-24,TikTok,Story,13647,1129,1170,285,190
2022-12-12,Pinterest,Story,11897,277,360,51,81
2023-09-16,TikTok,Story,39299,7042,713,198,15
2024-10-13,Pinterest,Story,37511,198,1024,186,126
2024-05-30,Instagram,Story,14147,1119,906,152,116
2022-01-02,Instagram,Post,28218,5313,677,120,92
2024-06-15,Instagram,Post,44764,7967,443,251,133
2022-09-11,Instagram,Video,42817,4777,535,193,2
2023-03-29,Facebook,Reel,48414,1413,131,248,13
2024-11-26,Facebook,Post,19597,4558,209,-1,65
2024-10-11,TikTok,Post,37453,1805,33,45,94
2022-01-09,Pinterest,Post,45754,569,449,282,85
2024-03-26,Instagram,Video,40596,5513,970,126,194
2022-07-27,Instagram,Story,49952,6580,468,144,113
2023-02-08,Pinterest,Video,17607,3594,155,289,158
2022-06-01,Pinterest,Reel,3510,2372,244,-15,160
2022-02-23,TikTok,Reel,6055,6546,270,-7,128
2023-09-20,Pinterest,Reel,567,7283,1133,111,171
2023-08-10,Instagram,Reel,28912,1152,917,222,14
2022-04-14,Instagram,Post,45453,647,501,210,36
2022-09-11,Instagram,Post,34805,5805,689,207,154
2023-05-25,Instagram,Video,12049,3323,162,141,175
2022-04-09,Instagram,Story,6180,4099,176,262,26
2022-06-02,TikTok,Reel,26239,5831,498,242,11
2024-07-02,Instagram,Video,21709,2655,974,110,66
2024-05-27,TikTok,Post,42015,6306,680,204,29
2022-12-04,Instagram,Post,22932,7308,663,237,95
2024-04-01,Facebook,Story,15616,2238,907,213,193
2024-08-14,Facebook,Story,20545,7506,670,295,134
2022-06-10,Facebook,Story,26827,6070,371,3,33
2024-03-11,Facebook,Video,36209,4875,554,250,31
2023-02-02,TikTok,Post,44117,638,647,74,116
2024-03-26,TikTok,Post,27405,6604,259,121,38
2023-02-05,Pinterest,Story,7567,4522,212,161,95
2023-10-02,Instagram,Reel,33059,1457,454,185,170
2024-11-22,Facebook,Story,43419,6015,99,60,170
2023-11-19,TikTok,Video,18485,7369,843,253,130
2023-04-05,Instagram,Story,27869,4896,482,255,173
2024-08-12,Instagram,Story,18364,4772,687,187,159
2023-04-15,TikTok,Video,23114,3440,766,275,42
2024-11-11,Facebook,Story,48394,3490,194,18,80
2024-01-20,Pinterest,Post,16113,1679,715,267,2
2022-02-07,Instagram,Reel,6947,1044,760,103,73
2022-08-18,Pinterest,Story,5999,5729,840,262,116
2023-07-17,Facebook,Video,39541,4848,137,159,62
2023-03-14,Facebook,Reel,31815,6655,59,76,110
2022-01-27,Pinterest,Video,1799,2109,514,170,39
2022-08-14,Facebook,Reel,39969,5325,674,53,17
2024-03-08,Instagram,Reel,5494,7901,414,252,66
2022-10-11,Pinterest,Story,30378,4622,991,28,102
2024-05-28,Facebook,Post,16127,3036,738,189,189
2024-08-17,Pinterest,Story,7989,450,1143,95,137
2023-03-29,Instagram,Video,26611,2905,263,2,179
2024-10-16,Facebook,Video,32855,2274,1150,77,45
2024-03-26,Instagram,Reel,8769,3462,303,292,54
2023-10-21,Facebook,Reel,3331,106,565,169,173
2023-07-01,TikTok,Post,44870,1925,301,161,74
2024-12-08,Facebook,Story,12319,4593,366,127,187
2022-01-17,Pinterest,Video,25313,4348,593,2,96
2022-06-07,Facebook,Reel,22137,3818,131,84,25
2023-04-22,Instagram,Post,2496,5802,201,142,154
2024-12-05,Instagram,Video,44887,4883,225,46,165
2023-06-02,Facebook,Reel,49929,4347,999,269,21
2022-04-09,Pinterest,Video,3589,1403,95,268,25
2024-11-26,TikTok,Post,33791,2460,415,25,196
2022-10-07,Pinterest,Post,21159,5037,12,60,162
2023-05-12,TikTok,Video,45678,6647,548,126,193
2022-10-29,Instagram,Story,30929,6549,472,201,72
2022-06-30,Pinterest,Video,16232,4361,324,-6,114
2023-08-30,TikTok,Reel,20006,7165,273,100,50
2023-12-01,Facebook,Story,41435,2652,65,57,112
2024-09-19,Instagram,Reel,5690,2984,801,274,145
2022-07-10,Facebook,Video,5075,72,1123,220,170
2022-09-10,Instagram,Story,40995,2252,557,-3,11
2024-09-07,Pinterest,Reel,48646,1259,930,235,2
2024-07-16,Pinterest,Video,35065,2346,665,256,119
2022-05-08,Instagram,Video,35399,798,720,6,134
2022-01-18,Instagram,Story,24206,854,783,-19,133
2023-07-20,Instagram,Video,48168,183,198,274,81
2023-07-24,Pinterest,Post,23384,4466,486,291,44
2023-11-17,TikTok,Reel,17699,2487,859,218,126
2023-09-18,Facebook,Reel,44600,483,502,-8,85
2024-05-03,Facebook,Video,39934,5191,216,163,114
2024-08-19,Pinterest,Video,49794,5018,669,173,166
2022-06-04,Facebook,Post,12979,3721,674,35,178
2023-05-05,Instagram,Story,34678,3786,225,209,8
2024-02-24,TikTok,Video,13165,7342,277,7,150
2022-09-03,Facebook,Video,1034,7296,1182,299,11
2024-11-28,TikTok,Video,26792,7051,283,50,115
2024-01-29,Instagram,Video,36632,4089,820,189,87
2023-06-22,Facebook,Reel,36610,2148,280,163,61
2024-07-09,Pinterest,Video,22969,7945,1009,20,103
2023-02-12,TikTok,Reel,46733,6369,518,239,72
2023-06-09,Instagram,Video,37768,2967,1116,63,76
2024-04-07,TikTok,Story,1672,302,927,25,39
2024-06-21,Facebook,Post,28414,5111,646,138,181
2022-02-05,Facebook,Story,21401,7463,509,-14,134
2023-11-16,Pinterest,Video,41275,4884,594,115,16
2022-01-20,Instagram,Video,34909,1179,776,162,118
2022-11-17,Instagram,Video,19824,3314,744,176,125
2023-05-27,Pinterest,Story,9238,5485,679,151,177
2023-02-04,Pinterest,Video,37994,351,1018,255,23
2023-10-16,Instagram,Story,45057,6741,132,57,1
2024-08-29,TikTok,Reel,24554,2027,507,157,91
2023-04-16,TikTok,Post,30209,2813,906,6,160
2024-04-13,Pinterest,Post,44285,4055,547,99,148
2023-12-28,TikTok,Story,20607,6972,496,260,116
2024-05-03,Instagram,Reel,863,6461,1049,287,52
2022-02-20,Facebook,Story,10858,3291,718,175,45
2023-07-29,Facebook,Reel,36577,3107,795,256,44
2022-05-30,TikTok,Video,3740,600,420,-3,8
2022-11-10,Pinterest,Reel,7165,5624,152,274,5
2023-07-24,Pinterest,Reel,46189,7868,974,250,50
2022-11-01,Pinterest,Reel,2436,5461,33,32,118
2023-11-13,Pinterest,Post,47236,1637,312,273,34
2024-04-17,Pinterest,Reel,26038,1872,166,31,81
2024-12-13,TikTok,Video,44465,5970,873,195,180
2024-09-29,Facebook,Video,12498,5310,856,51,146
2023-03-20,Facebook,Video,1382,3267,65,7,196
2023-09-05,TikTok,Reel,20724,3546,129,231,24
2024-09-19,Pinterest,Story,40191,4459,1099,14,138
2022-09-21,TikTok,Story,46976,4329,842,180,16
2024-12-12,Facebook,Video,31325,5833,470,228,35
2024-09-30,Instagram,Post,5704,762,247,78,95
2022-01-05,TikTok,Story,29385,2225,477,287,20
2024-02-13,Pinterest,Reel,40556,5456,963,119,17
2024-05-26,Facebook,Story,3703,7470,537,62,187
2024-09-18,Facebook,Video,2744,4122,498,27,145
2024-06-02,Facebook,Post,33286,3899,903,257,0
2022-02-16,Facebook,Story,3583,6893,86,227,141
2024-05-16,Pinterest,Story,22084,2483,860,156,135
2024-04-02,Instagram,Video,9021,3351,883,31,193
2024-07-24,Facebook,Post,34041,320,927,58,50
2023-10-18,TikTok,Post,29563,1844,16,43,78
2022-09-26,Instagram,Video,5232,4956,453,-13,187
2023-01-05,Facebook,Reel,28018,2512,766,193,161
2023-09-28,Instagram,Story,40063,4343,1142,4,35
2023-10-19,TikTok,Reel,40252,3444,30,235,61
2022-04-30,Facebook,Story,30197,1129,512,222,128
2024-04-10,TikTok,Story,3067,2928,66,177,84
2024-12-17,Pinterest,Reel,16621,5372,233,73,41
2024-01-11,Facebook,Video,2174,5790,611,186,0
2022-04-27,Facebook,Video,11375,4773,1063,-6,53
2024-03-01,Facebook,Story,44840,653,895,157,174
2024-10-09,Facebook,Video,1239,5307,765,54,99
2024-12-17,Pinterest,Story,2045,5591,599,83,38
2023-09-26,Facebook,Video,29640,5226,1053,273,157
2023-05-28,Instagram,Story,9827,1635,1060,147,6
2024-03-12,Facebook,Video,5627,3107,1040,94,149
2023-07-14,Pinterest,Post,23831,6264,5,18,120
2023-05-03,Facebook,Reel,23504,5056,1164,252,177
2024-06-15,Instagram,Post,42333,4035,137,114,44
2023-12-05,Pinterest,Reel,10992,4739,90,211,73
2023-08-04,Pinterest,Reel,14249,1445,520,18,119
2024-02-29,Instagram,Story,24008,3738,179,270,71
2024-05-10,Instagram,Reel,9545,649,767,286,137
2022-09-04,Instagram,Post,20616,563,1049,26,141
2022-06-03,Instagram,Post,19167,6041,1001,15,45
2024-09-23,Instagram,Video,10021,6277,1133,299,122
2023-11-28,Pinterest,Post,9169,7187,582,74,117
2024-12-28,Pinterest,Video,27802,1116,53,-8,74
2024-12-06,Facebook,Reel,11783,7883,532,125,5
2024-10-05,Facebook,Post,31435,2936,149,44,20
2022-04-04,TikTok,Reel,7498,6103,766,207,189
2024-08-15,Facebook,Post,29306,2703,1103,221,146
2024-10-08,Facebook,Post,32124,4955,933,-13,102
2023-03-29,Instagram,Video,13940,6326,798,283,87
2024-06-30,Instagram,Reel,45965,7612,323,22,98
2022-08-06,Facebook,Post,47001,1138,1115,223,61
2023-04-19,TikTok,Story,22297,4435,702,160,106
2023-03-08,Instagram,Reel,1769,6569,851,64,82
2022-12-07,Facebook,Reel,8368,4914,787,134,180
2023-07-05,Facebook,Reel,30751,2564,46,254,151
2022-12-23,Pinterest,Video,12873,4019,1121,2,55
2022-01-23,TikTok,Story,19487,3334,533,94,189
2023-06-06,Pinterest,Reel,39229,7365,296,285,161
2024-03-12,TikTok,Post,16234,7790,973,278,21
2024-02-01,Instagram,Post,42929,4616,101,78,67
2023-03-18,TikTok,Video,41837,2246,1123,83,184
2024-02-08,Facebook,Post,40825,4233,78,30,9
2024-10-12,Facebook,Reel,18564,7541,1096,91,65
2023-05-31,TikTok,Post,8933,6589,762,223,7
2024-11-05,TikTok,Reel,48921,839,1105,148,122
2024-03-02,TikTok,Post,9611,3525,212,51,37
2022-12-02,Pinterest,Story,38950,3203,414,118,122
2022-09-15,TikTok,Video,48747,1714,335,210,61
2023-05-12,Instagram,Video,15547,1359,348,218,155
2024-06-14,Pinterest,Story,8584,7599,993,232,137
2022-06-09,Pinterest,Story,22251,914,775,28,44
2024-05-01,TikTok,Video,16953,3913,78,282,64
2023-11-21,Instagram,Story,20808,5439,258,51,66
2023-01-15,Pinterest,Reel,39468,3413,963,242,136
2024-08-14,Facebook,Post,30577,3574,824,201,132
2023-11-22,Pinterest,Video,43546,3836,990,56,105
2024-12-02,TikTok,Story,35275,73,336,41,137
2022-10-12,Instagram,Reel,49070,3053,751,136,139
2023-02-01,TikTok,Video,46597,6032,840,273,81
2022-01-12,Facebook,Story,25003,360,459,104,57
2023-05-14,Facebook,Video,3279,5630,1143,208,148
2024-01-24,Facebook,Story,21804,1281,317,140,148
2022-02-04,TikTok,Video,1255,3838,1022,8,192
2023-12-28,Pinterest,Reel,39763,2761,232,93,130
2024-04-28,TikTok,Reel,43455,6631,838,58,68
2022-03-31,Instagram,Post,42781,7755,862,2,88
2024-02-15,Pinterest,Video,17900,4851,822,85,63
2023-08-28,Facebook,Post,40615,5505,1022,110,176
2024-08-27,TikTok,Video,14749,471,532,152,71
2024-10-18,Facebook,Story,48147,1823,954,243,16
2023-02-22,Facebook,Story,47325,6514,431,264,72
2022-04-25,Instagram,Post,45325,3618,46,-19,159
2023-09-09,Pinterest,Video,25100,6780,469,212,69
2024-04-05,Instagram,Post,38206,996,282,230,112
2023-02-17,Instagram,Reel,19722,1236,840,87,20
2023-12-30,Instagram,Post,34005,1884,23,255,134
2024-10-17,Facebook,Post,39468,1614,70,159,6
2024-01-31,Instagram,Story,41639,7382,171,192,110
2023-11-07,Instagram,Post,49883,4994,1024,272,26
2023-04-02,Pinterest,Video,41802,7915,407,51,7
2024-07-08,Pinterest,Story,29648,5735,413,262,27
2022-07-11,Instagram,Post,22802,5464,116,154,193
2024-01-09,Pinterest,Reel,3123,6235,601,102,198
2024-09-04,Pinterest,Post,9146,1997,655,206,46
2024-10-05,Instagram,Post,14043,1358,1067,280,85
2022-04-06,Facebook,Post,29460,3036,109,62,9
2023-10-25,Instagram,Story,23285,436,328,232,113
2022-02-06,Pinterest,Video,13317,6181,996,125,32
2022-10-06,Facebook,Reel,31906,1211,433,99,134
2022-08-05,TikTok,Post,23956,3308,639,44,130
2024-05-16,Facebook,Video,24277,6171,734,260,13
2024-05-22,Pinterest,Video,21414,7103,893,262,171
2022-03-03,Facebook,Story,30053,4861,1089,85,45
2023-08-19,Instagram,Reel,24048,6624,397,279,60
2023-12-30,TikTok,Story,37765,6747,208,86,163
2023-02-01,TikTok,Video,41201,3983,262,15,12
2023-11-30,TikTok,Video,7227,7633,490,126,15
2024-11-08,Pinterest,Video,45424,2897,450,241,132
2022-06-26,Pinterest,Story,32927,4571,1028,138,37
2023-01-31,TikTok,Reel,17192,1489,346,244,177
2023-03-21,Facebook,Post,32125,6219,137,181,37
2022-03-17,TikTok,Story,25418,3492,447,134,102
2022-09-22,Facebook,Video,41895,4530,257,-8,55
2023-03-31,Facebook,Story,41636,105,269,276,62
2023-12-19,Pinterest,Video,49790,3374,97,64,119
2024-01-05,Facebook,Post,49845,6827,142,259,47
2024-04-30,TikTok,Post,16077,155,1006,224,104
2022-05-24,Pinterest,Reel,20119,3251,311,279,58
2024-06-03,Instagram,Video,46740,7042,270,295,76
2024-12-28,Instagram,Reel,34210,719,650,-12,171
2023-01-31,Pinterest,Reel,37888,4521,322,226,126
2024-11-14,TikTok,Post,16695,792,1141,291,54
2024-08-05,Instagram,Story,28189,1016,905,257,54
2024-06-09,Instagram,Story,11654,357,458,217,128
2023-07-23,Facebook,Reel,39621,2188,195,182,135
2024-11-28,Facebook,Post,29912,3514,835,226,126
2022-04-19,TikTok,Video,21841,7751,1117,214,131
2024-12-01,Pinterest,Story,32518,4947,191,60,84
2024-07-23,TikTok,Reel,9645,159,823,-8,114
2023-02-02,Pinterest,Story,42762,3682,1025,-5,180
2023-09-26,Instagram,Story,46830,5810,136,24,57
2024-01-03,Facebook,Video,22723,6778,876,118,36
2022-08-23,TikTok,Post,3380,4485,639,127,48
2023-10-20,TikTok,Video,21771,5734,695,215,66
2024-01-21,Pinterest,Post,33813,5124,696,170,18
2023-08-11,Pinterest,Story,47400,6549,1127,80,128
2024-10-29,TikTok,Reel,13804,1965,1062,84,28
2024-08-11,Pinterest,Video,35195,4313,586,229,86
2023-05-07,TikTok,Post,30725,606,175,73,32
2024-07-01,TikTok,Story,21036,7669,788,199,118
2022-06-19,TikTok,Post,31331,5050,1087,277,179
2024-08-03,Instagram,Post,49656,154,185,112,168
2024-03-05,Pinterest,Post,12173,2097,23,134,150
2023-09-26,Facebook,Story,22417,6343,1123,7,132
2022-01-29,Facebook,Reel,28329,195,885,261,70
2022-12-05,Pinterest,Reel,15872,2813,179,95,184
2023-05-15,TikTok,Reel,26438,923,58,284,133
2023-05-26,Facebook,Post,3163,348,699,213,176
2022-08-05,Facebook,Story,48301,3288,867,-20,21
2024-12-29,Pinterest,Post,9965,5882,353,219,76
2023-03-21,Facebook,Reel,3826,695,447,37,3
2024-05-25,TikTok,Reel,4159,6916,837,162,71
2022-06-16,Pinterest,Story,28094,7265,584,5,191
2022-04-01,TikTok,Post,5263,4783,286,56,164
2023-12-15,Facebook,Video,23621,6432,364,196,158
2022-02-08,Facebook,Video,11328,3128,919,241,164
2022-06-22,TikTok,Reel,48088,2561,827,2,127
2023-10-15,Instagram,Story,11721,6646,896,223,44
2024-01-24,Facebook,Post,11711,833,957,137,135
2024-12-17,Instagram,Post,14069,5042,645,185,167
2023-04-21,Facebook,Reel,31858,420,1036,289,92
2023-04-01,Instagram,Reel,38360,7766,567,66,4
2024-04-08,Instagram,Post,6522,536,495,246,155
2024-06-13,Instagram,Post,45837,7428,345,113,103
2024-10-21,TikTok,Reel,14015,2087,476,246,80
2023-01-22,Instagram,Post,6659,6358,253,247,86
2022-12-14,Instagram,Video,46491,3246,239,32,136
2022-07-09,Instagram,Reel,41713,1410,1111,78,129
2023-05-20,Facebook,Post,22191,4337,1121,226,62
2024-04-03,Instagram,Reel,25404,4875,828,15,50
2024-07-17,Facebook,Story,44290,2311,636,7,115
2024-07-22,Instagram,Reel,3544,2671,533,199,112
2022-05-14,Instagram,Reel,10112,7545,126,81,30
2022-02-27,TikTok,Story,6136,1006,896,242,6
2023-11-16,Facebook,Video,12093,430,14,250,157
2023-11-03,Instagram,Post,49447,6866,842,203,185
2022-06-22,Facebook,Story,3392,3699,757,118,2
2024-03-25,Facebook,Reel,22172,4943,890,259,50
2022-03-21,Pinterest,Post,6312,288,468,265,55
2024-06-04,TikTok,Story,31585,7749,716,229,72
2022-07-22,TikTok,Post,1154,6893,732,296,9
2024-02-03,TikTok,Post,17643,1155,721,57,60
2022-02-16,Pinterest,Story,2298,1436,84,276,49
2023-10-18,Pinterest,Post,38427,2602,484,286,121
2023-04-16,TikTok,Video,29587,2299,906,-8,174
2024-08-28,Pinterest,Story,12118,7113,895,61,0
2024-11-01,Pinterest,Video,8946,1577,22,-12,184
2024-01-06,Pinterest,Reel,22146,1717,1193,192,37
2024-02-23,TikTok,Post,37091,4182,206,27,189
2024-08-25,TikTok,Reel,49367,2741,745,28,78
2022-12-24,TikTok,Reel,27700,7806,323,288,88
2024-08-29,Pinterest,Post,30071,3722,221,19,197
